top1,top2,top3
5,2,26
30,31,15
21,19,37
30,39,20
52,49,47
8,4,47
43,24,49
27,53,37
47,53,49
29,37,15
8,4,47
13,2,9
9,19,12
24,15,43
33,19,38
26,12,6
10,6,50
7,22,52
7,3,28
33,38,37
7,28,15
24,43,37
48,51,24
13,44,7
0,6,9
50,52,12
27,38,23
10,6,2
14,46,6
9,2,6
1,6,3
22,23,37
42,38,47
49,44,6
49,43,47
43,53,30
14,46,52
18,22,23
5,17,47
50,21,51
2,3,9
6,17,12
47,15,53
32,37,34
34,30,41
27,44,49
30,37,44
11,10,6
2,3,7
27,31,23
29,12,49
25,44,30
9,0,6
3,6,46
28,44,37
39,42,47
15,19,43
36,42,6
32,37,47
25,18,15
53,43,15
26,12,21
10,6,47
19,44,15
52,30,6
52,46,53
14,52,37
26,17,29
20,23,21
35,38,33
21,15,52
2,3,26
52,15,12
32,34,37
40,36,19
22,19,20
48,6,53
46,21,51
22,34,23
24,38,31
29,26,37
26,44,21
45,51,44
28,38,23
42,39,47
8,52,47
23,27,21
22,23,16
7,15,23
7,1,47
52,17,28
38,27,15
37,20,41
40,44,38
39,43,44
39,31,49
0,9,6
44,23,38
27,23,38
34,16,23
14,52,30
21,37,20
8,14,52
9,53,12
20,31,19
21,52,12
29,26,37
52,49,37
17,52,47
40,45,30
34,23,37
18,23,16
35,27,38
41,34,22
32,37,34
35,31,38
40,45,44
29,23,38
37,21,38
4,8,52
48,44,20
39,36,38
52,24,12
1,7,13
18,23,37
38,42,39
7,28,3
20,19,37
42,23,15
28,44,21
29,21,37
4,8,52
32,47,37
12,32,52
44,48,20
12,49,52
31,37,38
28,21,43
46,19,44
53,37,21
37,19,27
23,37,21
52,13,15
49,21,17
7,6,17
30,44,47
10,6,37
26,17,37
13,46,1
52,15,47
22,23,27
13,7,44
48,24,47
22,23,34
37,17,21
16,23,18
10,6,2
49,43,20
12,53,30
49,23,18
10,6,1
31,27,47
38,37,47
18,23,49
45,44,40
2,1,9
27,49,30
26,44,21
13,44,7
10,6,2
20,22,37
45,40,44
5,12,10
32,34,23
18,22,23
48,15,30
8,9,28
36,31,6
